"id","userId","date","inTime","outTime","status","isLate","createdAt","inTime1","outTime1","inBranch1","outBranch1","inTime2","outTime2","inBranch2","outBranch2","inTime3","outTime3","inBranch3","outBranch3","inTime4","outTime4","inTime5","outTime5","info","info1","info2","info3","info4","info5"
"1569","49","2026-06-02T18:30:00.000Z","2026-06-03T07:02:01.469Z","2026-06-03T14:25:33.766Z","OUT","true","2026-06-03T07:02:01.477Z","2026-06-03T07:02:01.469Z","2026-06-03T14:25:33.766Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1539","41","2026-06-02T18:30:00.000Z","2026-06-03T01:22:43.262Z","2026-06-03T14:28:31.182Z","OUT","false","2026-06-03T01:22:43.269Z","2026-06-03T01:22:43.262Z","2026-06-03T08:09:16.886Z","HNM","HNM","","","","","2026-06-03T10:01:07.462Z","2026-06-03T14:28:31.182Z","HNM","HNM","","","","","","","","","",""
"1535","64","2026-06-02T18:30:00.000Z","2026-06-03T00:39:45.199Z","2026-06-03T14:28:50.935Z","OUT","false","2026-06-03T00:39:45.207Z","2026-06-03T00:39:45.199Z","2026-06-03T09:22:40.673Z","HNM","HNM","2026-06-03T09:24:39.062Z","2026-06-03T14:28:50.935Z","HNM","HNM","","","","","","","","","","","","","",""
"1549","66","2026-06-02T18:30:00.000Z","2026-06-03T02:28:09.370Z","2026-06-03T14:30:01.565Z","OUT","false","2026-06-03T02:28:09.377Z","2026-06-03T02:28:09.370Z","2026-06-03T14:30:01.565Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1542","51","2026-06-02T18:30:00.000Z","2026-06-03T01:31:39.658Z","2026-06-03T14:30:07.134Z","OUT","true","2026-06-03T01:31:39.668Z","2026-06-03T01:31:39.658Z","2026-06-03T02:34:18.519Z","JNR","JNR","2026-06-03T05:20:34.353Z","2026-06-03T14:30:07.134Z","JNR","JNR","","","","","","","","","","","","","",""
"1548","48","2026-06-02T18:30:00.000Z","2026-06-03T02:01:55.883Z","2026-06-03T14:30:11.074Z","OUT","true","2026-06-03T02:01:55.894Z","2026-06-03T02:01:55.883Z","2026-06-03T05:33:47.275Z","JNR","JNR","2026-06-03T10:01:03.157Z","2026-06-03T14:30:11.074Z","JNR","JNR","","","","","","","","","","","","","",""
"1581","72","2026-06-02T18:30:00.000Z","2026-06-03T10:25:15.433Z","2026-06-03T14:33:14.331Z","OUT","false","2026-06-03T10:25:15.442Z","2026-06-03T10:25:15.433Z","2026-06-03T14:33:14.331Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1565","45","2026-06-02T18:30:00.000Z","2026-06-03T05:06:38.434Z","2026-06-03T14:36:39.596Z","OUT","false","2026-06-03T05:06:38.468Z","2026-06-03T05:06:38.434Z","2026-06-03T14:36:39.596Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1551","42","2026-06-02T18:30:00.000Z","2026-06-03T02:41:41.718Z","2026-06-03T15:02:00.098Z","OUT","true","2026-06-03T02:41:41.729Z","2026-06-03T02:41:41.718Z","2026-06-03T10:07:57.077Z","HNM","JNR","2026-06-03T10:08:08.945Z","2026-06-03T15:02:00.098Z","JNR","JNR","","","","","","","","","","","","","",""
"1579","60","2026-06-02T18:30:00.000Z","2026-06-03T10:04:43.186Z","2026-06-03T15:29:01.529Z","OUT","true","2026-06-03T10:04:43.194Z","2026-06-03T10:04:43.186Z","2026-06-03T15:29:01.529Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1553","67","2026-06-02T18:30:00.000Z","2026-06-03T03:00:52.646Z","2026-06-03T15:29:48.574Z","OUT","true","2026-06-03T03:00:52.655Z","2026-06-03T03:00:52.646Z","2026-06-03T06:56:37.093Z","HNM","HNM","2026-06-03T10:01:09.886Z","2026-06-03T15:29:48.574Z","HNM","HNM","","","","","","","","","","","","","",""
"1605","48","2026-06-03T18:30:00.000Z","2026-06-04T01:55:19.292Z","2026-06-04T05:30:03.691Z","IN","true","2026-06-04T01:55:19.300Z","2026-06-04T01:55:19.292Z","2026-06-04T05:30:03.691Z","JNR","JNR","2026-06-04T09:59:46.385Z","","JNR","","","","","","","","","","","","","","",""
"1541","40","2026-06-02T18:30:00.000Z","2026-06-03T01:30:03.116Z","2026-06-03T15:30:00.497Z","OUT","true","2026-06-03T01:30:03.121Z","2026-06-03T01:30:03.116Z","2026-06-03T02:35:13.814Z","HNM","HNM","2026-06-03T09:41:41.475Z","2026-06-03T15:30:00.497Z","HNM","HNM","","","","","","","","","","","","","",""
"1538","65","2026-06-02T18:30:00.000Z","2026-06-03T01:22:10.987Z","2026-06-03T15:30:08.635Z","OUT","false","2026-06-03T01:22:10.992Z","2026-06-03T01:22:10.987Z","2026-06-03T08:34:06.062Z","HNM","HNM","2026-06-03T08:58:55.618Z","2026-06-03T15:30:08.635Z","HNM","HNM","","","","","","","","","","","","","",""
"1552","56","2026-06-02T18:30:00.000Z","2026-06-03T02:42:19.491Z","2026-06-03T15:30:23.172Z","OUT","true","2026-06-03T02:42:19.502Z","2026-06-03T02:42:19.491Z","2026-06-03T07:03:55.315Z","HNM","HNM","2026-06-03T11:20:27.386Z","2026-06-03T15:30:23.172Z","HNM","HNM","","","","","","","","","","","","","",""
"1593","58","2026-06-03T18:30:00.000Z","2026-06-04T01:29:55.879Z","2026-06-04T15:38:16.712Z","OUT","false","2026-06-04T01:29:55.882Z","2026-06-04T01:29:55.879Z","2026-06-04T03:40:25.242Z","JNR","JNR","2026-06-04T04:46:06.114Z","2026-06-04T08:15:11.324Z","JNR","JNR","2026-06-04T10:29:10.824Z","2026-06-04T15:38:16.712Z","JNR","JNR","","","","","","","","","",""
"1609","80","2026-06-03T18:30:00.000Z","2026-06-04T02:55:48.707Z","","IN","true","2026-06-04T02:55:48.715Z","2026-06-04T02:55:48.707Z","","JNR","","","","","","","","","","","","","","","","","","",""
